metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
lactate	0	0	NA	NA	NA	237	21	7.38438255486443e-14	4.64161189162907e-13	SELL/C3/IL6/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1/IL10	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
malate	0	0	NA	NA	NA	96	4	0.0180945424293849	0.0221155518581371	TREM1/IL6/B3GAT1/PRF1	23	0	NA	NA	NA
mesaconate	0	0	NA	NA	NA	0	0	NA	NA	NA	1281	42	2.86899969264144e-11	4.03551605118795e-11	SIRT1/TGFB1/CCL2/AICDA/NR3C1/LRP1/C3/IL6/CCL21/CCNT1/ICAM1/TP53/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/IRF3/CHRNA3/CYP2B6/BCL2/F3/CCR6/MAPK8/PTGS2/CDK9/PCNA/TRIM5/GPX3/CXCL12/NCOR2/CXCR4/OPRM1/TNF/B2M
oxalate	345	15	3.66109231237715e-06	4.88145641650287e-06	LRP1/C3/TP53/LEP/CD209/NCL/HSPA5/SLPI/HP/G6PD/IL10/SERPINA1/GC/B2M/CYP3A4	15	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
pantothenate	0	0	NA	NA	NA	10	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
pyruvate	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
quinolinate	31	0	NA	NA	NA	9	0	NA	NA	NA	163	8	0.000319163947685339	0.000337627977716722	CCL2/MLL5/ICAM1/TP53/CCL5/IL8/TNF/IDO1
ranitidine	0	0	NA	NA	NA	8	0	NA	NA	NA	50	2	0.0956704881316891	0.0956704881316891	ABCB1/IL10
suberate	0	0	NA	NA	NA	1	0	NA	NA	NA	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
succinyladenosine	0	0	NA	NA	NA	31	0	NA	NA	NA	160	10	7.18460699354505e-06	8.43696968049328e-06	AICDA/NR3C1/HEXB/SELP/HEXA/SLC28A1/GLB1/SOD2/SLC28A3/APOBEC3G
1-Methyladenosine	0	0	NA	NA	NA	7	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
1-Methylguanine	0	0	NA	NA	NA	73	4	0.00712648673663072	0.00895901189747862	IFNA1/IL18/CCL5/TNF	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
1-Methylguanosine	0	0	NA	NA	NA	39	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
1-Methylhistamine	0	0	NA	NA	NA	445	34	8.35912304444537e-20	9.19503534888991e-19	CCL2/IL2/IL4/C3/IL6/CCL21/ICAM1/IFNA1/SLC1A2/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CXCL10/IL8/CXCL11/CCL19/VIPR1/F3/CCR6/PTGS2/CXCL12/CXCR4/OPRM1/TNF/IL10	23	0	NA	NA	NA
21-Deoxycortisol	0	0	NA	NA	NA	276	31	4.65272551165341e-23	6.82399741709167e-22	ESR1/SIRT1/RETN/TGFB1/IFNG/IL4/NR3C1/HSPB1/CRP/IL6/CYBA/ICAM1/ABCB1/IL18/VCAM1/IL15/IL8/LEP/BCL2/LCK/CYP3A4/SERPINA1/CASP8/PTGS2/FASLG/MKI67/G6PD/CXCR4/IGF2/TNF/IL10	294	17	1.37509713868729e-08	1.87247269948907e-08	ESR1/RETN/CCL2/IL4/NR3C1/IL6/ICAM1/ABCB1/IL15/IL8/LEP/CYP3A4/PTGS2/CXCR4/IGF2/TNF/IL10
2-Methylguanosine	0	0	NA	NA	NA	51	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
3-Hydroxyanthranilic acid	0	0	NA	NA	NA	8	0	NA	NA	NA	163	8	0.000319163947685339	0.000337627977716722	CCL2/MLL5/ICAM1/TP53/CCL5/IL8/TNF/IDO1
5-Hydroxy-tryptophan	0	0	NA	NA	NA	440	22	1.43106317580937e-09	5.7242527032375e-09	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/GSK3B/VIPR1/CCR6/CXCL12/CXCR4/OPRM1/IDO1	163	8	0.000319163947685339	0.000337627977716722	CCL2/MLL5/ICAM1/TP53/CCL5/IL8/TNF/IDO1
5-Methylcytidine	0	0	NA	NA	NA	4	0	NA	NA	NA	163	8	0.000319163947685339	0.000337627977716722	CCL2/MLL5/ICAM1/TP53/CCL5/IL8/TNF/IDO1
7-Methylguanine	0	0	NA	NA	NA	75	6	0.00013228728670441	0.000267142187786148	MLH1/HSPB1/ABCB1/TP53/ATM/CCL5	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
Adenosine	1282	41	1.10250043683284e-10	1.8900007488563e-10	CD4/TNFRSF1A/SIRT1/IL2/NR3C1/LRP1/C3/CCNT1/TP53/ATM/BAX/VCAM1/ABCE1/TLR3/BIRC5/CD34/CD209/NCL/GSK3B/TNFRSF18/CAV1/SLPI/HP/CASP8/DPP4/MKI67/CDK9/FOXP3/HDAC6/ERCC2/G6PD/MAPK8/BCL2/TNF/ESR1/PTPRC/IL10/SERPINA1/GC/IDO1/B2M	3620	102	6.82942481678209e-24	2.35057123913451e-22	CX3CL1/CD4/ESR1/SIRT1/IL2RB/PSMD7/TGFB1/CCL2/IL2/IFNG/IL4/MLH1/IRF1/C3/CCL4/IL6/CCL21/IDH1/CCNT1/SELP/IL7/CD80/ICAM1/ABCB1/TP53/ATM/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/IL15/ABCE1/TLR3/BIRC5/CCL11/CXCR6/CEBPB/CXCL10/IL7R/IL8/CXCL11/CCL19/IRF3/LEP/PAK2/SLC28A2/HSPA5/GSK3B/CD28/VIPR1/SOCS1/BCL2/SOCS3/LEPR/TMEM173/F3/PDCD1/LCK/CAV1/CCR6/MEF2C/BLM/CASP8/HLA-DRB1/HLA-G/MAPK8/DPP4/TLR9/PTPRC/PTGS2/FCGR3A/CD40LG/CDK9/IL2RG/EPHB2/FOXP3/HLA-C/SLC28A3/HLA-A/PCNA/IL2RA/TRIM5/TLR7/CD274/ERCC2/CXCL12/CXCR4/IGF2/OPRM1/ITK/TNF/HLA-B/IL10/CD289/GC/B2M	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
Ala-Ala	0	0	NA	NA	NA	8	0	NA	NA	NA	309	24	2.12314544213305e-14	3.35509403201272e-14	SIRT1/CCL2/C3/HSPB1/CRP/IL6/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/HP/CXCL12/CXCR4/OPRM1
Ala-Thr	0	0	NA	NA	NA	9	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
anthranilic acid	310	10	0.00159927371949808	0.00174466223945245	TNFRSF1A/TP53/KHDRBS1/CD28/CSF1/DPP4/ITK/ESR1/LCK/SOCS1	10	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
Arginine	574	45	1.40211571701582e-26	6.73015544167595e-26	CD4/SIRT1/CCL2/IFNG/IL4/C3/CD68/CCNT1/ICAM1/CD27/TP53/ATM/NCR1/CCR2/CCR5/VCAM1/DDB1/SLC28A2/CD209/CD28/APOBEC3B/SOCS3/F3/PDCD1/CAV1/NCR3/CD163/DPP4/PTGS2/CDK9/CD274/IL4R/NCOR2/APOBEC3G/IL6/CXCR4/TNF/ESR1/IL10/SERPINA1/IDO1/KLRC1/MRC1/SOCS1/B2M	294	9	0.0038265408765417	0.0051020545020556	PSMD7/IL6/HLA-G/HLA-C/HLA-A/PCNA/TNF/HLA-B/B2M	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
Asparagine	166	40	2.05193241751164e-43	2.46231890101396e-42	CD4/IL2RB/CCL2/IL2/IL10RA/IFNG/IL4/IRF1/IL7/CD27/IFNA1/IL18/NCR1/CCR5/TLR3/CXCL10/IL7R/CXCL8/CD28/SOCS3/PDCD1/IL21R/NCR3/CASP8/TLR9/IL2RG/IL2RA/TLR7/IL4R/IL6/TNF/IL10/KLRC1/IL22/IL12RB1/IRF3/CCL5/IFNL3/SOCS1/STING1	88	7	0.0000376530241990724	0.0000920407258199548	PSMD7/IL6/HLA-G/HLA-C/HLA-A/HLA-B/B2M	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
Aspartic acid	466	28	8.17008037067411e-14	1.96081928896179e-13	CD4/TGFB1/LRP1/C3/HEXB/CD27/TP53/NCR1/CCR5/CD209/GSK3B/CD28/PDCD1/CAV1/NCR3/DPP4/MAPK8/EPHB2/CXCR4/TNF/ESR1/SERPINA1/MME/KLRC1/HEXA/CCL18/NEFL/B2M	165	8	0.000346441137866604	0.000544407502361806	PSMD7/SLC1A2/GLB1/HLA-G/HLA-C/HLA-A/HLA-B/B2M	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
Biopterin	0	0	NA	NA	NA	0	0	NA	NA	NA	163	8	0.000319163947685339	0.000337627977716722	CCL2/MLL5/ICAM1/TP53/CCL5/IL8/TNF/IDO1
C20 Sphinganine	0	0	NA	NA	NA	28	0	NA	NA	NA	50	2	0.0956704881316891	0.0956704881316891	ABCB1/IL10
C22 Sphingosine	0	0	NA	NA	NA	0	0	NA	NA	NA	50	2	0.0956704881316891	0.0956704881316891	ABCB1/IL10
Caffeine	103	2	0.291347101061006	0.291347101061006	CD4/DPP4	307	27	1.96466494758559e-17	1.72890515387532e-16	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
CAR 10:0;OH	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CAR 2:0	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CAR 3:0	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CAR 4:0	0	0	NA	NA	NA	12	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CAR 4:0;OH	0	0	NA	NA	NA	0	0	NA	NA	NA	197	18	2.8388556648327e-12	4.17670718504121e-12	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1
